Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Highway_version1\Project Outputs for Free Documents\Pick Place\Pick Place for ESE516_PCB(Build_Alt).txt

========================================================================================================================
File Design Information:

Date:       28/02/23
Time:       22:30
Revision:   fdb152c44d38cb8b643896243ecfededfc90a7d3
Variant:    Build_Alt
Units used: mil

Designator Comment             Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                       
U1         FT234XD-R           TopLayer FP-DFN-12-MFG                   433.000       2137.700      0        "USB Bridge, USB to UART USB 2.0 UART Interface 12-DFN (3x3)"                                                                     
C29        "0.1UF 16V"         TopLayer FP-CC0402-MFG                   992.656       987.154       270      "CC0402 100 nF X7R 10.00% 25 V"                                                                                                   
R6         "1K 1%"             TopLayer FP-RNCP0603-IPC_C               960.106       1908.098      0        "1kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                              
C26        "4.7uF 16V"         TopLayer FP-CC0402-MFG                   1074.168      1990.470      270      "CAP CER 4700PF 25V X7R 0402"                                                                                                     
R36        Jumper              TopLayer FP-RMCF0603-MFG                 1477.998      1832.767      90       "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R35        Jumper              TopLayer FP-RMCF0603-MFG                 1089.527      657.292       180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R34        Jumper              TopLayer FP-RMCF0603-MFG                 1258.590      845.283       270      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R33        "178K 1%"           TopLayer FP-RMCF1210-IPC_B               1741.141      2102.207      180      "178kO ±1% 0.5W 1210 Thick Film Chip Resistor AEC-Q200 compliant"                                                                 
U9         NAU7802SGI          TopLayer SOP127P600X175-16N              846.023       735.827       0        "ADC, Delta-Sigma, 24-Bit, 1 Func, 2 Channel, Serial Access, PDSO16"                                                              
R43        "10K 1%"            TopLayer FP-RNCP0603-IPC_A               1106.144      560.827       0        "10kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                             
R42        "10K 1%"            TopLayer FP-RNCP0603-IPC_A               1253.591      731.169       0        "10kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                             
R41        "51 1%"             TopLayer FP-RMCF0402-IPC_C               531.496       801.794       270      "51O ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                                                                 
R40        "51 1%"             TopLayer FP-RMCF0402-IPC_C               548.722       684.013       180      "51O ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                                                                 
R32        Jumper              TopLayer FP-RMCF0603-MFG                 723.975       236.220       0        "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R31        "1K 1%"             TopLayer FP-RNCP0603-IPC_C               617.227       213.583       90       "1kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                              
L2         "1 uH"              TopLayer COIL-XFL4020_V                  1529.154      2116.108      0        "Shielded Power Inductor, 1 uH, 64 MHz, -40 to 125 degC, 2-Pin SMD, RoHS, Tape and Reel"                                          
R29        "1K 1%"             TopLayer FP-RNCP0603-IPC_C               469.622       1757.786      90       "1kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                              
R28        "100 1%"            TopLayer FP-RMCF0603-IPC_C               705.977       1762.785      270      "100O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                                  
R25        "10K 1%"            TopLayer FP-RNCP0603-IPC_A               604.390       1789.619      270      "10kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                             
D6         GREEN               TopLayer LED_0805                        379.802       1765.868      90       "Single Color LED, Green, 0805"                                                                                                   
C41        "0.1UF 16V"         TopLayer FP-CC0402-MFG                   663.385       613.858       90       "CC0402 100 nF X7R 10.00% 25 V"                                                                                                   
C39        "0.1UF 16V"         TopLayer FP-CC0402-MFG                   657.480       796.457       90       "CC0402 100 nF X7R 10.00% 25 V"                                                                                                   
C38        "1UF 16V"           TopLayer FP-CC0603-DA-MFG                622.953       889.603       0        "CC0603 1 uF X7R 10.00% 16 V"                                                                                                     
C37        "0.1UF 16V"         TopLayer FP-CC0402-MFG                   633.859       960.629       0        "CC0402 100 nF X7R 10.00% 25 V"                                                                                                   
C36        "0.1UF 16V"         TopLayer FP-CC0402-MFG                   1064.733      904.197       0        "CC0402 100 nF X7R 10.00% 25 V"                                                                                                   
C35        "10UF 16V"          TopLayer FP-CC0603-DB-MFG                1084.527      821.478       0        "CAP CER 10UF 6.3V X5R 0603"                                                                                                      
C28        470PF               TopLayer FP-0402-L_1_0_1-W_0_5_0_1-IPC_A 658.465       705.339       270      "General Purpose Ceramic Capacitor, 0402, 470pF, 10%, X7R, 15%, 50V"                                                              
C27        22UF                TopLayer FP-CC0805-0_2-1_45-IPC_C        1625.020      1954.871      270      "CAP CER 22UF 25V X5R 0805"                                                                                                       
B2         PTS810SJK250SMTRLFS TopLayer PTS810SJK250SMTRLFS-Footprint-1 748.568       1964.474      270      "Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 16VDC, 3.23N, Solder Terminal, Surface Mount-straight"                
R27        Jumper              TopLayer FP-RMCF0603-MFG                 720.765       447.180       0        "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R26        "1K 1%"             TopLayer FP-RNCP0603-IPC_C               618.926       468.894       270      "1kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                              
R2         "27 1%"             TopLayer FP-RMCF0603-IPC_B               552.154       2350.516      270      "27O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                                   
R1         "27 1%"             TopLayer FP-RMCF0603-IPC_B               440.306       2249.715      0        "27O ±1% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                                   
D8         LSM0805452V         TopLayer LED_0805                        1414.020      1330.551      0        "Single Color LED, Green, 0805"                                                                                                   
X1         ABS07-32.768KHz-T   TopLayer FP-ABS07-MFG                    1523.388      1536.939      90       "Crystal 32.768kHz ±20ppm (Tol) 12.5pF FUND 70k? 2-Pin CSMD T/R"                                                                  
U6         BQ24075RGTR         TopLayer FP-RGT0016C-IPC_A               1067.389      2153.466      90       "IC LI-ION CHARGE MGMT 16-QFN"                                                                                                    
U5         TPS61087DRCR        TopLayer DRC0010J_V                      2268.749      1573.905      90       "Boost Voltage Converter with 2.5 to 6 V Input and 3 to 18.5 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)" 
U2         TPS62082DSGR        TopLayer DSG0008A_V                      1503.564      1937.008      90       "Buck Step Down Regulator with 2.3 to 6 V Input and 3.3 V Output, -40 to 85 degC, 8-Pin WSON (DSG), Green (RoHS & no Sb/Br)"      
R24        Jumper              TopLayer FP-RMCF0603-MFG                 1660.956      1811.291      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R23        Jumper              TopLayer FP-RMCF0603-MFG                 1240.701      1924.213      90       "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R22        Jumper              TopLayer FP-RMCF0603-MFG                 2472.303      1320.086      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                                                     
R21        "1.13K 1%"          TopLayer FP-RMCF1210-IPC_C               903.701       2024.919      270      "1.13kO ±1% 0.5W 1210 Thick Film Chip Resistor AEC-Q200 compliant"                                                                
R20        "1.13K 1%"          TopLayer FP-RMCF1210-IPC_C               885.608       2298.913      0        "1.13kO ±1% 0.5W 1210 Thick Film Chip Resistor AEC-Q200 compliant"                                                                
R19        "1K 1%"             TopLayer FP-RNCP0603-IPC_C               1242.126      2156.439      180      "1kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                              
R18        "1K 1%"             TopLayer FP-RNCP0603-IPC_C               1191.544      2307.970      270      "1kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                              
R17        "68.1K 1%"          TopLayer FP-RMCF0402-IPC_C               2162.704      1409.736      0        "68.1kO ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"                                                              
R16        "39K 5%"            TopLayer FP-RMCF0603-IPC_B               2285.249      1417.010      180      "39kO ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                                  
R15        "150K 5%"           TopLayer FP-RMCF0603-IPC_A               2292.190      1330.165      0        "150kO ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant"                                                                 
R14        "10K 1%"            TopLayer FP-RNCP0603-IPC_A               1402.540      2396.261      270      "10kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                             
R13        "10K 1%"            TopLayer FP-RNCP0603-IPC_A               1350.098      2643.650      0        "10kO ±1% 0.125W 0603 High Power Anti-Sulfur Thin Film Chip Resistor"                                                             
